project,ASM_LOC,C_LOC,CPP_LOC,H_LOC
100-Cranium,0,354,0,1025
Kazade-kazmath,0,7494,9405,11424
RoaringBitmap-CRoaring,0,16533,272,5812
Themaister-libfmsynth,148,1150,721,143
andikleen-snappy-c,0,1894,0,167
antirez-otree,0,773,0,64
antirez-rax,0,1792,0,83
armon-libart,0,6050,0,570
bashrc-libdeep,0,13009,0,1410
camgunz-cmp,0,8353,0,377
chokkan-liblbfgs,0,929,102,689
chrismoos-hash-ring,0,1223,0,96
cloudwu-cstring,0,360,0,49
codeplea-genann,0,544,0,80
codeplea-tinyexpr,0,1148,0,78
ctz-cifra,2259,7660,0,1467
dbalmain-ferret,0,82413,2,21178
dcjones-hat-trie,0,1613,0,716
fabianishere-brainfuck,0,544,0,65
faragon-libsrt,0,11473,1198,3235
ferreiradaselva-mathc,0,2594,0,311
flame-blis,1308,122237,0,43791
josephg-librope,0,1143,0,113
jtsiomb-kdtree,0,733,0,37
kbranigan-cJSON,0,2893,0,92
khovratovich-Argon2,0,2110,6253,3101
kylophone-spectrophoto,0,105,0,4610
lacker-ikalman,0,565,0,73
lemire-simdcomp,0,81084,0,198
liteserver-binn,0,5310,0,672
lucasb-eyer-heatmap,1626897,1007,5779,889
mbrossard-threadpool,0,298,0,26
mongodb-libbson,0,20289,0,3465
msteinbeck-tinyspline,0,3282,352,305
ndevilla-iniparser,0,1703,0,148
prideout-heman,0,6829,73,6556
quartzjer-js0n,0,210,0,26
richgel999-miniz,0,6944,1687,731
skeeto-branchless-utf8,0,256,0,117
snowballstem-snowball,0,38447,0,1095
swenson-sort,0,1020,0,1749
tkengo-highway,0,26320,0,39793
troydhanson-tpl,0,5427,32,116
veorq-SipHash,0,314,0,841
wbhart-bsdnt,0,7200,0,1263
websnarf-bstrlib,0,6403,2801,754
wolkykim-qlibc,0,8693,0,1449
yosefk-checkedthreads,0,1339,569,163
zedshaw-liblcthw,0,7734,0,611
zhemao-libds,0,764,0,265
zserge-partcl,0,603,0,274
